doc_id,annotation_id,topic,key_points
SeattleCityCouncil_06222015_Res 31594,100,Date of Public Hearing,"['1. A public hearing will be held July 30th at 9:30 am.', '2. The hearing will be for the petition of the Seattle City LT Department for the vacation of Pontius Avenue North between Danny Way and John Street in the South Lake Union Urban Center neighborhood of Seattle.']"
SeattleCityCouncil_06222015_Res 31594,100,Location of Danny Substation,"['1. There is a public hearing scheduled at Belltown Community Center for July 30th to discuss a petition of the Seattle City LT Department for the vacation of Pontius Avenue North, between Denny way and John Street, for those who wanted to comment on the issue.', '2. The entire Cascade neighborhood, and many low income housing buildings are adjacent to the construction site, and this is unusual for densely populated areas.', '3. There has been outreach to try and mitigate the impact of this.']"
SeattleCityCouncil_06222015_Res 31594,100,Impact of Denny Substation Construction,"['1. The article is a transcript of a council meeting discussing the vacation of Pontius Avenue north for the Denny Substation construction.', '2. The council set a public hearing date is July 30 at 5:30 in the evening at the Belltown Community Center.', '3. The Denny substation site will be in a densely populated low-income area.', '4. Substations are not usually created in such populated areas, and this could impact the neighborhood.', '4. City Light has done a lot of outreach to try to mitigate the impact that the construction will have on the neighborhood.']"
LongBeachCC_08132019_19-0733,101,Vacation of the North-South Alley,"['1. The hearing is discussing a proposal to vacate the north south alley west of Long Beach Boulevard between East Waldo Road and 35th Street, and a portion of sidewalk right of way along Locust Avenue to assist with Laserfiche’s expansion.', '2. Council staff has been working closely with Laserfiche to help expand their footprint in the city of Long Beach.', '3. Vacating the alley will allow the city of Long Beach to expand and support Laserfiche.', '4. Laserfiche is a tech company.', '5. Laserfiche are bringing jobs for the city with their growing campus and creating a model facility in Bixby Knolls as a gateway.', ""6. Laserfiche is clearing oil fields, replacing fences, doing landscaping, and they're fixing alleys."", '7. Council member expresses enthusiasm and stating Laserfiche is the exact example of the type of corporate partner the city would want in the community.']"
LongBeachCC_08132019_19-0733,101,Support for Lazar Fish Expansion,"['1. City Council Staff have been working closely with Lazar Fish, a tech company, to help them expand.', '2. The City Council is looking to have an alley vacated to provide the company with more office space.', '3. Lazar Fish are growing by hundreds and hundreds of jobs on their campus.']"
LongBeachCC_08132019_19-0733,101,Development of Office Space,"['1. In this document, it is discussed how a piece of the sidewalk right-of-way and an alley will be given up so that Lazar Fish, a tech business in Long Beach, can expand its office space.']"
LongBeachCC_08112020_20-0678,102,Fire Impact Fees,"['1. The speaker is discussing the need for changes to be made in fire impact fees, how they are utilized, and to consider alternative methods for raising funds.', '2. This comes as a result of the need to improve and modernize fire department buildings and infrastructure as the community grows and changes.']"
LongBeachCC_08112020_20-0678,102,Funding Options for Fire Facilities,"['1. The speaker is proposing that fire impact fees, and development fees need to be reassessed and alternative funding methods need to be considered for funding fire facilities.', '2. The speaker believes that the fire and destruction needs to be modernized as the city grows and develops.', '3. One speaker agrees with the proposition, saying that with new housing developments on the horizon they want to ensure they are collecting the appropriate amount of fees for building this infrastructure.']"
LongBeachCC_08112020_20-0678,102,Optimizing Property Purchases for Emergency Services,"['1. Council woman Price spoke about the utilization the need to reassess fire impact fees and look at alternative methods of funding fire facilities.', '2. There are currently no long-term plan for a way to prepare for infrastructure needs and building new facilities within the fire department.', '3. As the city develops and become dense, a reevaluation of whether the fire impact fees and development fees impacts the city infrastructure are appropriate to match the demand.', '4. The city manager is asked to reevaluate its financing or funding options, and include creative approaches to create revenue creation for fire facilities and report back to council.']"
AlamedaCC_07162019_2019-6992,103,Carp population in Alameda,['1. There is no information in this document about the Carp population in Alameda.']
